nm_uf,nm_micro,lng,lat
RIO DE JANEIRO,CANTAGALO-CORDEIRO,-42.415231195095,-21.895768550639854
PARANÁ,CAPANEMA,-53.61412762032428,-25.76734940375531
MINAS GERAIS,CAPELINHA,-42.61116586411711,-17.369375464607412
SAO PAULO,CAPAO BONITO,-48.82553184406604,-24.436682107357313
RORAIMA,CARACARAI,-61.04702873679261,1.9875345494297703
SAO PAULO,CARAGUATATUBA,-45.36054853878093,-23.70174000146449
MINAS GERAIS,CARATINGA,-42.11873337684988,-19.545712717371433
RIO GRANDE DO SUL,CARAZINHO,-53.044189183491085,-27.949113826031766
SERGIPE,CARIRA,-37.57890372648152,-10.490018325317822
CEARÁ,CARIRI,-39.38954271542693,-7.281381914611049
PARAÍBA,CARIRI OCIDENTAL,-36.86279807184435,-7.71474248599551
PARAÍBA,CARIRI ORIENTAL,-36.18790599997751,-7.539278172676503
CEARÁ,CARIRIACU,-39.45393168605067,-6.945529334290315
CEARÁ,CASCAVEL,-38.14572811794418,-4.315438811717379
PARANÁ,CASCAVEL,-53.2585163984552,-25.00865736268679
MATO GROSSO DO SUL,CASSILANDIA,-52.50954798737324,-18.865355299359727
PARÁ,CASTANHAL,-48.03366457789749,-1.3061863666039766
MINAS GERAIS,CATAGUASES,-42.592424027966075,-21.562250038038755
GOIÁS,CATALAO,-47.99157348283197,-17.972169753720042
SAO PAULO,CATANDUVA,-48.905443755304546,-21.087423165315567
PARAÍBA,CATOLE DO ROCHA,-37.68158371605629,-6.404575379749521
BAHIA,CATU,-38.35898706688275,-12.435167808591949
MARANHÃO,CAXIAS,-43.39858670211141,-5.252214165877237
RIO GRANDE DO SUL,CAXIAS DO SUL,-51.42076747215004,-29.120954378534336
GOIÁS,CERES,-49.57525070197214,-15.211245316577864
PARANÁ,CERRO AZUL,-49.0920111136453,-24.702348306580916
RIO GRANDE DO SUL,CERRO LARGO,-54.82274588295247,-28.096965329991402
RIO GRANDE DO NORTE,CHAPADA DO APODI,-37.67811984183523,-5.540536005797319
CEARÁ,CHAPADA DO ARARIPE,-40.16780172692593,-7.06359069309
GOIÁS,CHAPADA DOS VEADEIROS,-47.34503881789235,-13.729414851009293
MARANHÃO,CHAPADAS DAS MANGABEIRAS,-45.2892715845309,-7.006049176369255
MARANHÃO,CHAPADAS DO ALTO ITAPECURU,-43.97149396330572,-6.235689959390817
PIAUÍ,CHAPADAS DO EXTREMO SUL PIAUIENSE,-44.49621501244228,-10.288879262243253
MARANHÃO,CHAPADINHA,-43.08522747405898,-3.6340714275660693
SANTA CATARINA,CHAPECO,-52.963088027848585,-26.829522894238707
CEARÁ,CHOROZINHO,-38.559694650084175,-4.392845458501664
PARANÁ,CIANORTE,-52.72526108771996,-23.60143830892636
AMAZONAS,COARI,-61.99650578048156,-3.898304697795181
MARANHÃO,CODO,-44.13314369322675,-4.447531605715615
MARANHÃO,COELHO NETO,-43.15835186182011,-4.225376584663953
ESPÍRITO SANTO,COLATINA,-40.74468640326938,-19.337819146417626
RONDÔNIA,COLORADO DO OESTE,-60.79295066127806,-13.206030880166663
MATO GROSSO,COLIDER,-55.01420483088333,-10.36924992329075
PARÁ,CONCEICAO DO ARAGUAIA,-49.85145446789242,-8.485845571860242
MINAS GERAIS,CONCEICAO DO MATO DENTRO,-43.38485458825339,-18.83032371983456
SANTA CATARINA,CONCORDIA,-52.12812994336887,-27.216849319861968
MINAS GERAIS,CONSELHEIRO LAFAIETE,-43.847139700858534,-20.64601310958858
