nm_uf,nm_micro,lng,lat
SAO PAULO,PIRACICABA,-47.7543263911877,-22.743464399862404
MINAS GERAIS,PIRAPORA,-44.98755546242868,-17.069329671196392
SAO PAULO,PIRACUNUNGA,-47.26207998149345,-21.94641942377429
GOIÁS,PIRES DO RIO,-48.41956532302307,-16.991366311023846
PARANÁ,PITANGA,-51.95494255346191,-24.780567179548726
MINAS GERAIS,PIUI,-46.12439661853124,-20.154428893755192
PARANÁ,PONTA GROSSA,-50.056794301753925,-25.05845076055774
MINAS GERAIS,PONTE NOVA,-42.760442641667915,-20.279642724206287
GOIÁS,PORANGATU,-48.951037625904235,-13.952439179901717
PARANÁ,PORECATU,-51.231073308950656,-22.890899606376784
PARÁ,PORTEL,-50.856794811757716,-1.72553361100222
RIO GRANDE DO SUL,PORTO ALEGRE,-51.04603948373738,-29.954726725079443
MARANHÃO,PORTO FRANCO,-47.13790799454043,-6.677451009116775
TOCANTINS,PORTO NACIONAL,-48.197057559848716,-9.75722326711171
BAHIA,PORTO SEGURO,-39.692879371931134,-17.105032956822043
RONDÔNIA,PORTO VELHO,-64.3082778684227,-9.461755925392596
MINAS GERAIS,POUSO ALEGRE,-46.09178679804302,-22.458928141571874
MINAS GERAIS,POCOS DE CALDAS,-46.46402497671786,-22.00191871529108
MARANHÃO,PRESIDENTE DUTRA,-44.26623570764522,-5.3302274128058595
SAO PAULO,PRESIDENTE PRUDENTE,-51.60014152025934,-22.15951232678119
MATO GROSSO,PRIMAVERA DO LESTE,-54.69853022674355,-15.4805077952481
SERGIPE,PROPRIA,-36.73762309258731,-10.286465560164082
PARANÁ,PRUDENTOPOLIS,-50.74850143076006,-25.204334724902797
AMAZONAS,PURUS,-65.38701188036492,-7.116818158270312
GOIÁS,QUIRINOPOLIS,-50.83204448093256,-18.80889333420895
PERNAMBUCO,RECIFE,-35.062039856021336,-8.055091917032325
PARÁ,REDENCAO,-49.33452285153857,-6.872630640108457
SAO PAULO,REGISTRO,-47.77893949909627,-24.525537802105454
RIO GRANDE DO SUL,RESTINGA SECA,-53.430620750538026,-29.682772004353332
BAHIA,RIBEIRA DO POMBAL,-38.357617244446224,-10.830396958711027
SAO PAULO,RIBEIRAO PRETO,-47.81445371024029,-21.2382935965104
ACRE,RIO BRANCO,-67.58418341260116,-9.997214968845817
SAO PAULO,RIO CLARO,-47.780637412967614,-22.31382668012417
RIO DE JANEIRO,RIO DE JANEIRO,-43.11641785068644,-22.73178969207751
SANTA CATARINA,RIO DO SUL,-49.800108516911614,-27.096282464134063
TOCANTINS,RIO FORMOSO,-49.79114054681684,-11.376940189168343
AMAZONAS,RIO NEGRO,-65.9404467480217,0.6011174310012726
PARANÁ,RIO NEGRO,-49.45962028181602,-26.023312821964986
AMAZONAS,RIO PRETO DA EVA,-59.877898216086706,-1.8570420496725824
GOIÁS,RIO VERMELHO,-50.707546055015044,-15.587183886540558
MATO GROSSO,RONDONOPOLIS,-54.673729367414076,-16.45904559251691
MARANHÃO,ROSARIO,-44.10912180921092,-2.924822927403989
MATO GROSSO,ROSARIO OESTE,-56.45406605753315,-15.133965811421467
PARÁ,SALGADO,-47.76715716906337,-0.8137058355159053
PERNAMBUCO,SALGUEIRO,-39.10435303121596,-8.025920293713037
MINAS GERAIS,SALINAS,-42.12891250805716,-15.748075127183416
BAHIA,SALVADOR,-38.47544798615292,-12.807442497198666
RIO GRANDE DO SUL,SANANDUVA,-51.658149096748474,-27.812161087525922
RIO GRANDE DO SUL,SANTA CRUZ DO SUL,-52.64912155721058,-29.48603171849447
RIO GRANDE DO SUL,SANTA MARIA,-54.17948483624385,-29.742950548577188
BAHIA,SANTA MARIA DA VITORIA,-44.35736895622346,-13.426764483052596
RIO DE JANEIRO,SANTA MARIA MADALENA,-42.050080419864074,-22.006116346154567
CEARÁ,SANTA QUITERIA,-40.25528751157657,-4.352209930964168
MINAS GERAIS,SANTA RITA DO SAPUCAI,-45.66767967629226,-22.104300794465303
RIO GRANDE DO SUL,SANTA ROSA,-54.48030969400346,-27.765359073956866
ESPÍRITO SANTO,SANTA TERESA,-40.718360561139484,-19.916959456533775
ALAGOAS,SANTANA DO IPANEMA,-37.329882838846544,-9.487196846214298
PARÁ,SANTAREM,-54.700751401489846,-2.3365568406860477
RIO GRANDE DO SUL,SANTIAGO,-54.24911550041702,-29.182774419739243
BAHIA,SANTO ANTONIO DE JESUS,-39.02337624645303,-12.801863023369874
RIO DE JANEIRO,SANTO ANTONIO DE PADUA,-42.09984391359467,-21.562668563033586
RIO GRANDE DO SUL,SANTO ANGELO,-54.613426314081664,-28.28825072959466
SAO PAULO,SANTOS,-46.27899966733405,-23.905947325000003
PARAÍBA,SAPE,-35.227388793486845,-7.142468102229216
BAHIA,SEABRA,-41.51234300822628,-12.84770372278288
ACRE,SENA MADUREIRA,-69.51045669025481,-9.374365485681924
BAHIA,SENHOR DO BONFIM,-40.34776107643799,-10.484903138426617
SERGIPE,SERGIPANA DO SERTAO DO SAO FRANCISCO,-37.48596786767176,-9.952652772427673
RIO GRANDE DO NORTE,SERIDO OCIDENTAL,-37.23730936153597,-6.50792858657618
PARAÍBA,SERIDO OCIDENTAL PARAIBANO,-36.88035397105596,-6.945395043690811
RIO GRANDE DO NORTE,SERIDO ORIENTAL,-36.63731417134379,-6.501515709199081
PARAÍBA,SERIDO ORIENTAL PARAIBANO,-36.406131201589616,-6.735740631138676
RIO GRANDE DO NORTE,SERRA DE SANTANA,-36.59360656335144,-6.029857505136402
RIO GRANDE DO NORTE,SERRA DE SAO MIGUEL,-38.384918287798236,-6.257598291938717
CEARÁ,SERRA DO PEREIRO,-38.33388883326,-5.893420044895098
PARAÍBA,SERRA DO TEIXEIRA,-37.69595023593565,-7.51500120671225
RIO DE JANEIRO,SERRANA,-42.962271885721066,-22.307066419452255
ALAGOAS,SERRANA DO SERTAO ALAGOANO,-37.79809130071859,-9.19851273275364
ALAGOAS,SERRANA DOS QUILOMBOS,-36.12936319904355,-9.171809525652447
RIO GRANDE DO SUL,SERRAS DO SUDESTE,-53.23296490832679,-31.029903919552478
BAHIA,SERRINHA,-39.29852395392948,-11.483554353407587
CEARÁ,SERTAO DE CRATEUS,-40.61389386443019,-5.166290574466641
CEARÁ,SERTAO DE INHAMUNS,-40.252062276348404,-6.201602747287992
CEARÁ,SERTAO DE QUIXERAMOBIM,-39.29193293209323,-4.979723167211898
CEARÁ,SERTAO DE SENADOR POMPEU,-39.46723826487346,-5.80727065069489
PERNAMBUCO,SERTAO DO MOXOTO,-37.58893044601585,-8.514865639781867
MINAS GERAIS,SETE LAGOAS,-44.05816895180176,-19.39037810256992
MATO GROSSO,SINOP,-54.37620325014447,-11.48671113187585
CEARÁ,SOBRAL,-40.356133105236985,-3.722972286173342
RIO GRANDE DO SUL,SOLEDADE,-52.59684999012404,-28.97305444789361
SAO PAULO,SOROCABA,-47.38480217731662,-23.419356979584336
PARAÍBA,SOUSA,-38.04377938208547,-6.747596292505707
PERNAMBUCO,SUAPE,-35.086531699951664,-8.35900669484526
RORAIMA,SUDESTE DE RORAIMA,-60.19102315543179,0.639947876223344
GOIÁS,SUDOESTE DE GOIAS,-51.51581535957293,-17.726634748186672
SANTA CATARINA,SAO BENTO DO SUL,-49.35220230960038,-26.236350583827004
SAO PAULO,SAO CARLOS,-47.89766701940417,-21.999555953994243
PARÁ,SAO FELIX DO XINGU,-51.46461358727591,-6.927049382180619
RIO GRANDE DO SUL,SAO JERONIMO,-51.80774722166789,-29.996167767981515
SAO PAULO,SAO JOAQUIM DA BARRA,-48.06410887756406,-20.425783791663733
SAO PAULO,SAO JOSE DO RIO PRETO,-49.38704261997959,-20.74716482226284
SAO PAULO,SAO JOSE DOS CAMPOS,-45.77109391483983,-23.12233558238964
SAO PAULO,SAO JOAO DA BOA VISTA,-46.840199050770565,-21.74573217773761
MINAS GERAIS,SAO JOAO DEL REI,-44.252991929246,-21.162371394253626
MINAS GERAIS,SAO LOURENCO,-45.02347006305574,-22.118802618851685
ESPÍRITO SANTO,SAO MATEUS,-40.00008711573416,-18.617286743413132
PARANÁ,SAO MATEUS DO SUL,-50.35603331911248,-25.83657597389257
SANTA CATARINA,SAO MIGUEL D'OESTE,-53.526011946095984,-26.725462631865486
GOIÁS,SAO MIGUEL DO ARAGUAIA,-50.14677459033094,-13.86131123071493
ALAGOAS,SAO MIGUEL DOS CAMPOS,-36.260088111107144,-9.892744404319854
SAO PAULO,SAO PAULO,-46.654341447278476,-23.796893351190477
PIAUÍ,SAO RAIMUNDO NONATO,-42.99891820546836,-9.056215760878686
MINAS GERAIS,SAO SEBASTIAO DO PARAISO,-46.67915788393623,-21.173047603460798
SANTA CATARINA,TABULEIRO,-49.157733997571746,-27.71839193061787
MATO GROSSO,TANGARA DA SERRA,-58.01878383954796,-14.587604801028874
ACRE,TARAUACA,-70.81611548305162,-8.421823616596022
SAO PAULO,TATUI,-47.93478346124869,-23.20919369113747
AMAZONAS,TEFE,-64.74245403620334,-3.2926286270419025
PARANÁ,TELEMACO BORBA,-50.72062680092476,-24.35076833110946
PIAUÍ,TERESINA,-42.69862666885265,-5.093218676411015
MATO GROSSO,TESOURO,-53.52159374533085,-16.036395393367037
MINAS GERAIS,TEOFILO OTONI,-41.53951922263169,-17.777847179621173
SANTA CATARINA,TIJUCAS,-48.98153455531037,-27.383251706653905
SERGIPE,TOBIAS BARRETO,-37.990887684198086,-10.934581050165306
PARANÁ,TOLEDO,-53.9096792699612,-24.540361862951674
PARÁ,TOME-ACU,-48.52514486019566,-2.3269228949578493
ALAGOAS,TRAIPU,-36.921653701386894,-9.94127101386608
MATO GROSSO DO SUL,TRES LAGOAS,-52.720781795921795,-20.531659468021164
MINAS GERAIS,TRES MARIAS,-45.31263995810294,-18.868706551709078
RIO GRANDE DO SUL,TRES PASSOS,-53.982552638363295,-27.470125308587885
RIO DE JANEIRO,TRES RIOS,-43.127580537750106,-22.132407088278374
SANTA CATARINA,TUBARAO,-49.06291378056659,-28.412606179282037
PARÁ,TUCURUI,-49.903431593403795,-4.5780306319234185
SAO PAULO,TUPA,-50.56244362660368,-21.908422549296024
MINAS GERAIS,UBERABA,-47.97541977632158,-19.848928577622534
MINAS GERAIS,UBERLANDIA,-48.51473544577846,-18.814650654071453
MINAS GERAIS,UBA,-42.98675215422159,-21.13215244177197
RIO GRANDE DO NORTE,UMARIZAL,-37.81975253976374,-6.108589700995354
PARAÍBA,UMBUZEIRO,-35.684534552047836,-7.621253327834288
PARANÁ,UMUARAMA,-53.491791238371576,-23.74099619701569
MINAS GERAIS,UNAI,-46.48788289683706,-16.000875974859916
PARANÁ,UNIAO DA VITORIA,-51.15751567548749,-26.17556415000584
CEARÁ,URUBURETAMA,-39.494951309713976,-3.654556929078285
RIO GRANDE DO SUL,VACARIA,-50.82583956312908,-28.62220018886765
RIO GRANDE DO NORTE,VALE DO ACU,-36.86411764867291,-5.4616036751662955
PERNAMBUCO,VALE DO IPANEMA,-37.17131340331976,-8.77552519641815
PERNAMBUCO,VALE DO IPOJUCA,-36.365440602543885,-8.288240382282957
RIO DE JANEIRO,VALE DO PARAIBA FLUMINENSE,-44.23107884741096,-22.527088601717185
GOIÁS,VALE DO RIO DOS BOIS,-50.0452778399452,-17.12123061168915
BAHIA,VALENCA,-39.11524841037744,-13.789550998842511
PIAUÍ,VALENCA DO PIAUI,-41.733105593410535,-6.368857960137321
MINAS GERAIS,VARGINHA,-45.53802102097223,-21.310892156093097
RIO DE JANEIRO,VASSOURAS,-43.538822901435026,-22.424167545099163
RONDÔNIA,VILHENA,-61.03158931552132,-12.183257363123417
ESPÍRITO SANTO,VITORIA,-40.349200983511736,-20.267194661154623
BAHIA,VITORIA DA CONQUISTA,-40.686282125116826,-14.79109224786203
PERNAMBUCO,VITORIA DE SANTO ANTAO,-35.31932886044881,-8.120171766495032
MINAS GERAIS,VICOSA,-43.007820317293664,-20.77118349387747
SAO PAULO,VOTUPORANGA,-49.857935011158354,-20.287609720080557
CEARÁ,VARZEA ALEGRE,-39.56160487622908,-6.659097068175304
GOIÁS,VAO DO PARANA,-46.44673165821522,-14.135718767559375
PARANÁ,WENCESLAU BRAZ,-49.806937230915636,-23.582206525386177
SANTA CATARINA,XANXERE,-52.333944478783906,-26.70380542081667
PARÁ,OBIDOS,-56.44382347250846,-1.6513702979264175
